arrive1 | time: 0.914972
arrive1 | time: 1.403408
depart1 | time: 1.499920
depart1 | time: 1.976584
arrive1 | time: 2.363102
depart1 | time: 2.490495
arrive2 | time: 2.918158
arrive1 | time: 4.049989
depart1 | time: 4.788454
arrive1 | time: 5.029348
arrive1 | time: 5.299103
arrive1 | time: 5.393288
depart1 | time: 5.594624
depart1 | time: 6.116381
arrive1 | time: 6.139255
depart1 | time: 6.268923
arrive1 | time: 6.496474
arrive2 | time: 6.556492
arrive1 | time: 6.775970
depart1 | time: 7.157931
arrive2 | time: 7.204692
depart1 | time: 7.759334
arrive2 | time: 7.831156
depart1 | time: 8.138680
arrive1 | time: 8.411762
depart1 | time: 9.710569
arrive1 | time: 9.724304
depart1 | time: 9.970972
arrive1 | time: 12.629349
depart1 | time: 13.361488
arrive1 | time: 13.804164
depart1 | time: 14.297150
arrive1 | time: 15.418882
depart1 | time: 16.035118
arrive1 | time: 16.281607
depart1 | time: 16.576881
arrive1 | time: 20.221367
arrive1 | time: 20.228168
depart1 | time: 20.336121
arrive1 | time: 20.336605
depart1 | time: 20.436491
arrive1 | time: 20.497120
depart1 | time: 20.731541
arrive1 | time: 21.674013
arrive1 | time: 21.783140
arrive1 | time: 22.359804
arrive2 | time: 22.658264
depart1 | time: 22.673870
arrive2 | time: 22.924204
depart1 | time: 23.160288
depart1 | time: 23.184069
arrive1 | time: 23.226019
arrive2 | time: 23.474749
depart1 | time: 23.557053
depart1 | time: 23.616833
arrive2 | time: 24.969959
arrive1 | time: 25.001532
arrive1 | time: 25.250069
depart1 | time: 25.446856
arrive2 | time: 25.464903
arrive1 | time: 25.803036
depart1 | time: 26.070658
depart1 | time: 27.280144
arrive2 | time: 27.902412
arrive1 | time: 28.260820
depart1 | time: 28.506054
arrive1 | time: 29.788822
depart1 | time: 30.147507
arrive1 | time: 31.660160
depart1 | time: 32.623913
arrive1 | time: 33.167095
arrive1 | time: 34.314365
arrive1 | time: 34.372314
depart1 | time: 35.164463
arrive2 | time: 35.619732
depart1 | time: 35.775333
depart1 | time: 36.035656
arrive1 | time: 36.402485
depart1 | time: 36.520771
arrive2 | time: 37.101151
arrive1 | time: 39.191006
depart1 | time: 39.342697
arrive1 | time: 41.580685
depart1 | time: 42.998638
arrive1 | time: 44.042770
depart1 | time: 44.476254
arrive1 | time: 44.593311
arrive1 | time: 44.726089
arrive1 | time: 45.084564
depart1 | time: 45.659069
arrive2 | time: 45.775177
depart1 | time: 45.779564
depart1 | time: 45.780857
arrive1 | time: 46.621571
arrive2 | time: 46.642357
depart1 | time: 47.404346
arrive1 | time: 48.208706
depart1 | time: 49.329132
arrive1 | time: 49.576378
depart1 | time: 49.601223
arrive1 | time: 51.369038
arrive1 | time: 51.410259
depart1 | time: 51.687759
depart1 | time: 51.733242
arrive1 | time: 52.109848
arrive1 | time: 52.449440
depart1 | time: 52.762264
depart1 | time: 52.792206
arrive1 | time: 52.929588
depart1 | time: 53.099705
arrive2 | time: 53.848415
arrive1 | time: 53.933197
depart1 | time: 54.045258
arrive1 | time: 55.037449
depart1 | time: 55.385139
arrive1 | time: 55.763813
depart1 | time: 56.001190
arrive1 | time: 56.776142
arrive1 | time: 56.867645
arrive1 | time: 57.337250
depart1 | time: 57.589890
depart1 | time: 57.744396
arrive1 | time: 58.013386
arrive2 | time: 58.958061
depart1 | time: 59.268456
arrive2 | time: 59.785923
arrive1 | time: 59.855145
depart1 | time: 60.371868
arrive1 | time: 60.439972
arrive1 | time: 61.710598
arrive1 | time: 62.252697
arrive2 | time: 62.311264
depart1 | time: 62.313896
arrive1 | time: 62.549229
depart1 | time: 62.637108
arrive2 | time: 62.716446
depart1 | time: 63.075001
depart1 | time: 63.603966
depart1 | time: 63.864925
arrive2 | time: 64.321938
arrive1 | time: 65.173988
depart1 | time: 65.595726
arrive1 | time: 66.393089
depart1 | time: 66.725227
arrive1 | time: 68.661163
depart1 | time: 68.940453
arrive1 | time: 69.027718
arrive1 | time: 69.167107
depart1 | time: 69.397194
depart1 | time: 69.510307
arrive2 | time: 70.623680
arrive1 | time: 71.400291
arrive1 | time: 71.689445
arrive1 | time: 71.880013
arrive1 | time: 71.949997
arrive1 | time: 72.322929
arrive1 | time: 72.937035
arrive1 | time: 73.325966
depart1 | time: 73.399109
arrive1 | time: 73.499840
arrive1 | time: 73.697128
arrive2 | time: 74.783768
arrive1 | time: 75.005730
depart1 | time: 75.704353
arrive1 | time: 75.918472
depart1 | time: 76.069588
arrive1 | time: 76.300018
arrive2 | time: 77.705414
depart1 | time: 77.938614
depart1 | time: 78.305099
arrive2 | time: 78.324791
arrive1 | time: 78.612976
arrive1 | time: 78.999954
depart1 | time: 79.104820
arrive2 | time: 79.383949
arrive1 | time: 79.622597
depart1 | time: 79.914528
depart1 | time: 80.009026
arrive2 | time: 81.892853
depart1 | time: 82.443344
arrive1 | time: 82.462334
depart1 | time: 82.800278
depart1 | time: 82.906715
arrive1 | time: 83.016830
arrive2 | time: 83.558929
arrive1 | time: 83.565933
arrive1 | time: 83.751091
arrive1 | time: 83.972588
depart1 | time: 84.217186
depart1 | time: 84.479607
depart1 | time: 85.251488
depart1 | time: 85.337860
depart1 | time: 86.097664
depart1 | time: 86.274574
arrive1 | time: 86.361679
arrive2 | time: 87.212646
arrive1 | time: 87.455307
arrive1 | time: 87.876289
depart1 | time: 87.882286
arrive1 | time: 87.953880
arrive1 | time: 87.991348
depart1 | time: 88.069443
arrive1 | time: 88.472717
arrive1 | time: 88.705978
arrive1 | time: 88.719116
depart1 | time: 88.819916
depart1 | time: 88.889267
depart1 | time: 89.013329
arrive2 | time: 89.642097
depart1 | time: 89.654930
arrive2 | time: 90.003113
arrive1 | time: 90.031792
depart1 | time: 90.322792
depart1 | time: 90.382172
depart1 | time: 90.562378
arrive2 | time: 90.595650
depart1 | time: 91.067474
arrive2 | time: 91.309685
depart1 | time: 91.463791
depart1 | time: 91.902931
arrive2 | time: 92.417984
arrive1 | time: 92.818291
depart1 | time: 92.827766
arrive1 | time: 93.496979
depart1 | time: 94.014931
arrive1 | time: 94.206764
arrive1 | time: 94.370979
depart1 | time: 95.284042
arrive1 | time: 95.419601
depart1 | time: 95.813042
arrive1 | time: 95.834724
depart1 | time: 96.081894
arrive1 | time: 96.263329
arrive1 | time: 96.685165
depart1 | time: 96.832611
depart1 | time: 97.036499
depart1 | time: 97.060707
arrive2 | time: 97.198517
arrive1 | time: 97.728104
depart1 | time: 98.434196
arrive1 | time: 99.143143
depart1 | time: 99.250427
arrive1 | time: 100.945625
